,chembl_id,Predicted_Value
0,CHEMBL2448612,[np.float32(9.911194)]
1,CHEMBL3989740,[np.float32(8.079022)]
2,CHEMBL4297066,[np.float32(7.954662)]
3,CHEMBL4297091,[np.float32(7.797143)]
4,CHEMBL2103744,[np.float32(7.7312574)]
5,CHEMBL2364629,[np.float32(7.703305)]
6,CHEMBL238071,[np.float32(7.686177)]
7,CHEMBL893,[np.float32(7.5603414)]
8,CHEMBL496,[np.float32(7.5416327)]
9,CHEMBL1200517,[np.float32(7.5303354)]
10,CHEMBL3989826,[np.float32(7.4987893)]
11,CHEMBL3989515,[np.float32(7.4342933)]
12,CHEMBL3989543,[np.float32(7.3991113)]
13,CHEMBL1732,[np.float32(7.3560634)]
14,CHEMBL3989514,[np.float32(7.302808)]
15,CHEMBL3039508,[np.float32(7.1030774)]
16,CHEMBL2105638,[np.float32(7.0624924)]
17,CHEMBL3301603,[np.float32(7.0558143)]
18,CHEMBL3833327,[np.float32(7.013001)]
19,CHEMBL1201782,[np.float32(7.008437)]
20,CHEMBL3989571,[np.float32(6.973748)]
21,CHEMBL1559,[np.float32(6.9022107)]
22,CHEMBL2105755,[np.float32(6.8789554)]
23,CHEMBL601719,[np.float32(6.863656)]
24,CHEMBL1200503,[np.float32(6.830449)]
25,CHEMBL1200725,[np.float32(6.764293)]
26,CHEMBL490665,[np.float32(6.7448106)]
27,CHEMBL186,[np.float32(6.697409)]
28,CHEMBL2105891,[np.float32(6.6802535)]
29,CHEMBL1200588,[np.float32(6.658597)]
30,CHEMBL1200962,[np.float32(6.609996)]
