ChEMBL ID,Frequency,Avg Predicted Value
CHEMBL1200962,0.3333333333333333,7.477711494124455
CHEMBL186,0.3333333333333333,7.477211770900039
CHEMBL243712,0.3333333333333333,6.708470045070018
CHEMBL1695,0.3333333333333333,6.71856140796133
CHEMBL1027,0.3333333333333333,6.71856140796133
CHEMBL301265,0.3333333333333333,6.719018789175883
CHEMBL1633,0.3333333333333333,6.719962427871114
CHEMBL158,0.3333333333333333,6.720974234071726
CHEMBL1605,0.3333333333333333,6.7219553483035455
CHEMBL4071161,0.3333333333333333,6.726299319353851
CHEMBL534,0.3333333333333333,6.730929236100553
CHEMBL2105458,0.3333333333333333,6.742639526522233
CHEMBL3701238,0.3333333333333333,6.757298996697318
CHEMBL927,0.3333333333333333,6.759958799416025
CHEMBL658,0.3333333333333333,6.760679689485174
CHEMBL1730,0.3333333333333333,6.760695290317553
CHEMBL1672,0.3333333333333333,6.760695290317553
CHEMBL528,0.3333333333333333,6.760695290317553
CHEMBL1541,0.3333333333333333,6.764717435258063
CHEMBL65794,0.3333333333333333,6.787253901106479
CHEMBL5315119,0.3333333333333333,6.800328593416505
CHEMBL2106076,0.3333333333333333,6.804797105978317
CHEMBL2364637,0.3333333333333333,6.845699941071096
CHEMBL3187246,0.3333333333333333,6.904893830704939
CHEMBL5314600,0.3333333333333333,6.999709427286121
CHEMBL3833340,0.3333333333333333,7.0295252446840975
CHEMBL1201163,0.3333333333333333,7.032599726574611
CHEMBL4594293,0.3333333333333333,7.054056150927886
CHEMBL3707348,0.3333333333333333,7.083157731190128
CHEMBL3182733,0.3333333333333333,6.70774808996562
