chembl_id,Frequency,Avg Predicted Value
CHEMBL4594350,0.3333333333333333,8.103576676844408
CHEMBL4297091,0.3333333333333333,7.424776483484208
CHEMBL2361370,0.3333333333333333,7.4213890032076275
CHEMBL3989958,0.3333333333333333,7.373586664125212
CHEMBL3707183,0.3333333333333333,7.49641164107159
CHEMBL2359966,0.3333333333333333,7.495706154525036
CHEMBL2103744,0.3333333333333333,7.238623233798138
CHEMBL3187985,0.3333333333333333,7.283390141182391
CHEMBL4535757,0.3333333333333333,7.175445795462358
CHEMBL1668,0.3333333333333333,7.072143587002105
CHEMBL3183409,0.3333333333333333,7.191011438563869
CHEMBL3989694,0.32,7.096298290186192
CHEMBL3545063,0.32,7.068710724362231
CHEMBL3039508,0.3133333333333333,6.996521248492358
CHEMBL2105891,0.3133333333333333,7.0568962017675325
CHEMBL772,0.30666666666666664,7.01090615942285
CHEMBL2105735,0.29333333333333333,7.002226343383622
CHEMBL3348963,0.2866666666666667,6.984515958457148
CHEMBL1201195,0.28,6.994086372499263
CHEMBL3989845,0.2733333333333333,6.977976537009082
CHEMBL4559134,0.2533333333333333,6.952185903037006
CHEMBL3989826,0.24,6.931189043265882
CHEMBL1082407,0.24,6.952716785862987
CHEMBL3707248,0.22666666666666668,6.914053886854651
CHEMBL5315124,0.21999999999999997,6.929019640029421
CHEMBL3301603,0.21999999999999997,6.91561677736047
CHEMBL1200485,0.21999999999999997,6.927154059088862
CHEMBL3039504,0.21999999999999997,6.9335639563935265
CHEMBL3989740,0.20666666666666667,6.932414959108778
CHEMBL1908377,0.16666666666666666,6.874731690397251
